,EN,FR,DE,ES,IT,PO,SC,JP,TC,RU
STRID_NORMAL,Normal,Normale,Normal,Normal,Normale,Normal,标准,ノーマル,一般,Стандартное
STRID_ECONOMY,Economy,Économie,Sparsam,Económ.,Economia,Economy,经济,エコノミー,經濟,Экономичное
STRID_WB,White Balance,Balance Blancs,Weissbalance,Balance Blanco,Bilanc.bianco,Balanço Brancos,白平衡,ホワイトバランス,白平衡,Баланс белого
STRID_AUTO,Auto,Auto,Auto,Auto,Automatico,Auto,自动,オート,自動,Авто баланс
STRID_WB_DAY,Daylight,Ensoleille,Sonnig,Sol,Luce Diurna,Sol,日光,日光,日光,Солнечно
STRID_WB_CLOUDY,Cloudy,Nuageux,Wolkig,Nubes,Nuvoloso,Enevoado,阴天,曇天,陰天,пасмурно
STRID_WB_TUNGSTEN,Tungsten,Tungstene,Kunstlicht,Tungsteno,Tungsteno,Tungsténio,钨丝灯,タングステン,燈泡,Вольфрам
STRID_WB_FLUORESCENT,Fluorescent,Fluor,Neonlicht,Fluoro,Illuminazione a fluorescenza,Fluore,荧光灯,蛍光灯,日光燈,Флуоресцент
STRID_EXPOSURE,Exposure,Exposition,Belichtung,Exposición,Esposizione,Exposição,曝光补偿,露出補正,曝光,Экспозиция
STRID_EV,EV,Exposition,Belichtungs-wert,Exposición,Esposizione,EV,EV 值,EV,曝光補償,EV
STRID_ISO,ISO,ISO,ISO,ISO,ISO,ISO,ISO,ISO,ISO,ISO
STRID_ISO50,50,50,50,50,50,50,50,50,50,50
STRID_ISO100,100,100,100,100,100,100,100,100,100,100
STRID_ISO200,200,200,200,200,200,200,200,200,200,200
STRID_ISO400,400,400,400,400,400,400,400,400,400,400
STRID_Metering,Metering,MesureExpos,Bel.Autom.,Medición AE,Misurazione AE,Medição,测光,メータ,測光,Метеринг
STRID_Meter_Center,Center-Weighted,Centrale Pondérée,Mittenbetont,Ponderada Centro,Bilanciata al Centro,Center-Weighted,中央重点测光,センター加重,中央重點測光,По центру 
STRID_Meter_Spot,Spot,Point,Spot,Puntual,Spot,Spot,定点,スポット,點測光,Пятно
STRID_Meter_Avg,Average,Moyenne des,Durchschnittliche,Promedio,Media,Média,平均测光,アベレージ,平均測光,средний
STRID_Cap_Mode,Capture Mode,Mode Capture,Aufnahme-modus,Modo grabación,Modalità Cattura,Capture Mode,拍摄方式,撮影モード,拍攝方式,Режим съемки
STRID_Cap_Single,Single,Simple,Einzeln,único,Singolo,Single,单拍,単写,單張,Одиночный
STRID_Cap_Burst,Sequence,Continuer,Fortsetzen,continuo,Continuato,Sequence,连拍,連写,連拍,Серия
STRID_Cap_Burst_3,3 Sequence,3 Continuer,3 Fortsetzen,3 continuo,3 Continuato,3 Sequence,三连拍,3連写,三連拍,Серия 3 фото 
STRID_Cap_Auto,AEB,AEB,AEB,AEB,AEB,AEB,三幅自动曝光,3次自動露出,三次自動曝光,Авто- экспозиция
STRID_Cap_Timer2S,2S Timer,2s temporisateur,Timer 2s,2s contador de tiempo,2s temporizzatore,2S Timer,2秒定时,2S タイマー,2秒自拍,2 сек.
STRID_Cap_Timer5S,5S Timer,5s temporisateur,Timer 5s,5s contador de tiempo,5s temporizzatore,5S Timer,5秒定时,5S タイマー,5秒自拍,5 сек.
STRID_Cap_Timer10S,10S Timer,10s temporisateur,Timer 10s,10s contador de tiempo,10s temporizzatore,10S Timer,10秒定时,10S タイマー,10秒自拍,10 сек.
STRID_Cap_Timer20S,20S Timer,20s temporisateur,Timer 20s,20s contador de tiempo,20s temporizzatore,20S Timer,20秒定时,20S タイマー,20秒自拍,20сек.
STRID_FlashMode,Flash Mode,Mode instantané,Greller Modus,Modo de destello,Modo istantaneo,Flash Mode,闪光模式,フラッシュモード,閃光模式,Вспышка
STRID_FlashOn,Force On,Force dessus,Kraft an,Fuerza encendido,Forza sopra,Force On,強制闪光,ストロボオン,強制閃光,Включено
STRID_FlashOff,Force Off,Force au loin,Kraft weg,Fuerza apagado,Forza fuori,Force Off,不強制闪光,ストロボオフ,關閉,Выключено
STRID_FlashAuto,Auto,Auto,Auto,Auto,Auto,Auto,自动,オート,自動,Автомат
