,EN,FR,DE,ES,IT,PO,SC,JP,TC,RU
STRID_2880x2160P24,2880x2160P24,2880x2160P24,2880x2160P24,2880x2160P24,2880x2160P24,2880x2160P24,2880x2160P24,2880x2160P24,2880x2160P24,2880x2160P24
STRID_2560X1440P30,2560x1440P30,2560x1440P30,2560x1440P30,2560x1440P30,2560x1440P30,2560x1440P30,2560x1440P30,2560x1440P30,2560x1440P30,2560x1440P30
STRID_2304x1296P30,2304x1296P30,2304x1296P30,2304x1296P30,2304x1296P30,2304x1296P30,2304x1296P30,2304x1296P30,2304x1296P30,2304x1296P30,2304x1296P30
STRID_1080P96,1080P96,1080P96,1080P96,1080P96,1080P96,1080P96,1080P96,1080P96,1080P96,1080P96
STRID_1080P_DUAL,1080P_DUAL,1080P_DUAL,1080P_DUAL,1080P_DUAL,1080P_DUAL,1080P_DUAL,1080P_DUAL,1080P_DUAL,1080P_DUAL,1080P_DUAL
STRID_720P120WXH,720P120,720P120,720P120,720P120,720P120,720P120,720P120,720P120,720P120,720P120
STRID_RSC,RSC,RSC,RSC,RSC,RSC,RSC,RSC,RSC,RSC,RSC
STRID_G_SENSOR,G Sensor,G Sensor,G Sensor,G Sensor,G Sensor,G Sensor,G Sensor,G Sensor,G Sensor,G Sensor
STRID_1SEC,1 Sec,1 Sec,1 Sec,1 Sec,1 Sec,1 Sec,1 Sec,1 Sec,1 Sec,1 Sec
STRID_1HOUR,1 Hour,1 Hour,1 Hour,1 Hour,1 Hour,1 Hour,1 Hour,1 Hour,1 Hour,1 Hour
STRID_2HOUR,2 Hour,2 Hour,2 Hour,2 Hour,2 Hour,2 Hour,2 Hour,2 Hour,2 Hour,2 Hour
STRID_3HOUR,3 Hour,3 Hour,3 Hour,3 Hour,3 Hour,3 Hour,3 Hour,3 Hour,3 Hour,3 Hour
STRID_1DAY,1 Day,1 Day,1 Day,1 Day,1 Day,1 Day,1 Day,1 Day,1 Day,1 Day
STRID_IRCUT,IR Cut,IR Cut,IR Cut,IR Cut,IR Cut,IR Cut,IR Cut,IR Cut,IR Cut,IR Cut
STRID_DUAL_CAM,Dual Cam Display,Dual Cam Display,Dual Cam Display,Dual Cam Display,Dual Cam Display,Dual Cam Display,Dual Cam Display,Dual Cam Display,Dual Cam Display,Dual Cam Display
STRID_FRONT,Front,Front,Front,Front,Front,Front,Front,Front,Front,Front
STRID_BEHIND,Behind,Behind,Behind,Behind,Behind,Behind,Behind,Behind,Behind,Behind
STRID_BOTH,Both,Both,Both,Both,Both,Both,Both,Both,Both,Both
STRID_PTZ,PTZ,PTZ,PTZ,PTZ,PTZ,PTZ,PTZ,PTZ,PTZ,PTZ
STRID_URGENT_PROTECT_AUTO,Auto Urgent Protect,Auto Urgent Protect,Auto Urgent Protect,Auto Urgent Protect,Auto Urgent Protect,Auto Urgent Protect,Auto Urgent Protect,Auto Urgent Protect,Auto Urgent Protect,Auto Urgent Protect
STRID_URGENT_PROTECT_MANUAL,Manual Urgent Protect,Manual Urgent Protect,Manual Urgent Protect,Manual Urgent Protect,Manual Urgent Protect,Manual Urgent Protect,Manual Urgent Protect,Manual Urgent Protect,Manual Urgent Protect,Manual Urgent Protect
STRID_PIM,PIM,PIM,PIM,PIM,PIM,PIM,PIM,PIM,PIM,PIM
STRID_DDD,DDD,DDD,DDD,DDD,DDD,DDD,DDD,DDD,DDD,DDD
STRID_REC_RECOVERY,File Recovery,File Recovery,File Recovery,File Recovery,File Recovery,File Recovery,File Recovery,File Recovery,File Recovery,File Recovery
STRID_SELFTIMER,Self Timer,Self Timer,Self Timer,Self Timer,Self Timer,Self Timer,Self Timer,Self Timer,Self Timer,Self Timer
STRID_PORTRIAL,Portrial,Portrial,Portrial,Portrial,Portrial,Portrial,Portrial,Portrial,Portrial,Portrial
STRID_LANDSCPE,Landscpe,Landscpe,Landscpe,Landscpe,Landscpe,Landscpe,Landscpe,Landscpe,Landscpe,Landscpe
STRID_0,0,0,0,0,0,0,0,0,0,0
STRID_1,1,1,1,1,1,1,1,1,1,1
STRID_2,2,2,2,2,2,2,2,2,2,2
STRID_3,3,3,3,3,3,3,3,3,3,3
STRID_4,4,4,4,4,4,4,4,4,4,4
STRID_5,5,5,5,5,5,5,5,5,5,5
STRID_6,6,6,6,6,6,6,6,6,6,6
STRID_7,7,7,7,7,7,7,7,7,7,7
STRID_8,8,8,8,8,8,8,8,8,8,8
STRID_9,9,9,9,9,9,9,9,9,9,9
STRID_10,10,10,10,10,10,10,10,10,10,10
STRID_CLOUD,Cloud,Cloud,Cloud,Cloud,Cloud,Cloud,Cloud,Cloud,Cloud,Cloud
STRID_FW_UPDATE,Firmware Update,Firmware Update,Firmware Update,Firmware Update,Firmware Update,Firmware Update,Firmware Update,Firmware Update,Firmware Update,Firmware Update
STRID_UVC,UVC,UVC,UVC,UVC,UVC,UVC,UVC,UVC,UVC,UVC
STRID_RESUME,Resume,Resume,Resume,Resume,Resume,Resume,Resume,Resume,Resume,Resume
STRID_MCTF,MCTF,MCTF,MCTF,MCTF,MCTF,MCTF,MCTF,MCTF,MCTF,MCTF
STRID_EDGE,Edge,Edge,Edge,Edge,Edge,Edge,Edge,Edge,Edge,Edge
STRID_NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
STRID_WIFI_ETH,WiFi/ETH,WiFi/ETH,WiFi/ETH,WiFi/ETH,WiFi/ETH,WiFi/ETH,WiFi/ETH,WiFi/ETH,WiFi/ETH,WiFi/ETH
STRID_ISO6400,6400,6400,6400,6400,6400,6400,6400,6400,6400,6400
STRID_ISO12800,12800,12800,12800,12800,12800,12800,12800,12800,12800,12800
STRID_FRONT_2880x2160P50,UHD P50,UHD P50,UHD P50,UHD P50,UHD P50,UHD P50,UHD P50,UHD P50,UHD P50,UHD P50
STRID_FRONT_3840x2160P30,UHD P30,UHD P30,UHD P30,UHD P30,UHD P30,UHD P30,UHD P30,UHD P30,UHD P30,UHD P30
STRID_FRONT_2880x2160P24,UHD P24,UHD P24,UHD P24,UHD P24,UHD P24,UHD P24,UHD P24,UHD P24,UHD P24,UHD P24
STRID_FRONT_2704x2032P60,2.7K P60,2.7K P60,2.7K P60,2.7K P60,2.7K P60,2.7K P60,2.7K P60,2.7K P60,2.7K P60,2.7K P60
STRID_FRONT_2560x1440P80,QHD P80,QHD P80,QHD P80,QHD P80,QHD P80,QHD P80,QHD P80,QHD P80,QHD P80,QHD P80
STRID_FRONT_2560x1440P60,QHD P60,QHD P60,QHD P60,QHD P60,QHD P60,QHD P60,QHD P60,QHD P60,QHD P60,QHD P60
STRID_FRONT_2560x1440P30,QHD P30,QHD P30,QHD P30,QHD P30,QHD P30,QHD P30,QHD P30,QHD P30,QHD P30,QHD P30
STRID_FRONT_2304x1296P30,3MHD P30,3MHD P30,3MHD P30,3MHD P30,3MHD P30,3MHD P30,3MHD P30,3MHD P30,3MHD P30,3MHD P30
STRID_FRONT_1920x1080P120,FHD P120,FHD P120,FHD P120,FHD P120,FHD P120,FHD P120,FHD P120,FHD P120,FHD P120,FHD P120
STRID_FRONT_1920x1080P96,FHD P96,FHD P96,FHD P96,FHD P96,FHD P96,FHD P96,FHD P96,FHD P96,FHD P96,FHD P96
STRID_FRONT_1920x1080P60,FHD P60,FHD P60,FHD P60,FHD P60,FHD P60,FHD P60,FHD P60,FHD P60,FHD P60,FHD P60
STRID_FRONT_1920x1080P30,FHD P30,FHD P30,FHD P30,FHD P30,FHD P30,FHD P30,FHD P30,FHD P30,FHD P30,FHD P30
STRID_FRONT_1280x720P240,HD P240,HD P240,HD P240,HD P240,HD P240,HD P240,HD P240,HD P240,HD P240,HD P240
STRID_FRONT_1280x720P120,HD P120,HD P120,HD P120,HD P120,HD P120,HD P120,HD P120,HD P120,HD P120,HD P120
STRID_FRONT_1280x720P60,HD P60,HD P60,HD P60,HD P60,HD P60,HD P60,HD P60,HD P60,HD P60,HD P60
STRID_FRONT_1280x720P30,HD P30,HD P30,HD P30,HD P30,HD P30,HD P30,HD P30,HD P30,HD P30,HD P30
